Word,Gloss,Phone,Environment,Stress,Tone,Duration (s),f0A,f0B,f0C,F1A,F1B,F1C,F2A,F2B,F2C,F3A,F3B,F3C
ŋo,I,o,ŋ_#,NaN,214,0.1977,104.4,98.67,106,415.7,490.3,515.1,888,813.5,1037,2504,2491,2703
nei,You,ei,n_#,NaN,214,0.2453,90.2,87.75,97.11,477.9,378.4,390.8,1882,1907,1945,2591,2715,2728
koi,he/she,oi,k_#,NaN,214,0.2428,104.5,99.9,106.6,502.7,378.4,291.4,1012,1684,1684,2628,2081,2479
ŋo dei,we,o,ŋ_#,NaN,214,0.1816,95.73,94.73,101.2,316.3,378.4,440.6,875.6,875.6,1286,2268,2703,2939
ŋo dei,we,ei,d_#,NaN,214,0.2321,100.2,90.68,90.19,428.1,477.9,316.3,1584,1845,2007,2777,2641,2902
nei dei,you(plural),ei,n_#,NaN,214,0.1721,95.03,91.97,94.5,316.3,415.7,341.1,1771,1969,1932,2429,2467,2579
nei dei,you(plural),ei,d_#,NaN,214,0.2504,100.6,89.96,90.44,415.7,390.8,303.8,1795,1957,2094,2479,2467,2243
koi dei,they,oi,k_#,NaN,214,0.1030,119,98.18,100.7,589.7,415.7,366,1286,1423,1621,1845,2019,2119
koi dei,they,ei,d_#,NaN,214,0.1521,106.5,96.15,97.35,403.3,403.3,390.8,1721,1845,1646,2678,2404,2404
ni,this,i,n_#,NaN,55,0.2121,121.5,136.9,130,266.5,291.4,254.1,2504,2628,2007,3312,3312,2815
go,that,o,g_#,NaN,35,0.1035,119.1,111.9,119.1,428.1,440.6,366,900.5,850.7,825.9,2579,2566,2529
ni dou,here,i,n_#,NaN,55,0.1817,127.6,133.7,134,303.8,316.3,291.4,2417,2641,2081,3473,3175,2989
ni dou,here,ou,d_#,NaN,51,0.1522,115.2,100.2,97,465.4,428.1,453,1174,850.7,888,2603,2666,2889
go dou,there,o,g_#,NaN,35,0.2064,110.8,97.19,123.4,415.7,465.4,440.6,863.2,676.7,999.9,3312,2790,2889
go dou,there,ou,d_#,NaN,41,0.1483,114.3,100.8,97.19,477.9,415.7,415.7,1012,825.9,763.7,2964,2715,2777
bin go,who,i,b_n,NaN,55,0.04436,117.8,118.4,116.1,266.5,266.5,266.5,2056,2044,2156,2678,2715,3014
bin go,who,o,g_#,NaN,41,0.2081,111.2,90.49,87.99,415.7,415.7,415.7,875.6,801,751.3,2628,2765,2703
maʔ,what,a,m_ʔ,NaN,55,0.0908,119.9,121.7,125.4,403.3,651.9,515.1,925.3,1472,1646,2230,2566,2529
bin dou,where,i,b_n,NaN,55,0.07145,118.3,117.2,117.1,291.4,266.5,254.1,2094,2094,2193,3001,3014,3225
bin dou,where,ou,d_#,NaN,31,0.2214,106,97.32,102.8,490.3,490.3,490.3,1236,925.3,863.2,2554,2666,2666
gei si,when,ei,g_#,NaN,35,0.1504,109.8,105.8,122.8,353.6,353.6,353.6,1945,2007,1969,2690,2852,2802
gei si,when,i,s_#,NaN,22,0.09802,97.49,90.34,87.03,241.7,241.7,241.7,2032,2032,2032,2927,3237,3747
dim joŋ,how,i,d_m,NaN,33,0.07661,103,98.31,98.47,279,279,279,2069,2069,1833,2740,3063,2504
dim joŋ,how,o,j_ŋ,NaN,35,0.06338,96.17,96.17,103.9,415.7,366,366,1460,1360,1336,2305,2305,2591
m ɦai,not,ai,ɦ_#,NaN,45,0.1202,96.04,93.56,91.23,639.4,440.6,378.4,1584,1895,2206,3076,3324,3523
t͡ɕyn bo͡u,all,y,t͡ɕ_n,NaN,31,0.06832,113.6,104.4,96.85,279,279,279,1969,1969,1969,2479,2429,2529
t͡ɕyn bo͡u,all,ou,b_#,NaN,11,0.1469,96,96,96,440.6,415.7,415.7,912.9,801,751.3,2626,2753,2728
do,many,o,d_#,NaN,43,0.2404,110.7,100.1,97.75,403.3,440.6,328.7,863.2,838.3,813.5,3063,2939,2802
di,some,i,d_#,NaN,55,0.1839,122.4,117,116.5,279,229.3,241.7,2156,2255,1746,2902,2815,2467
siu,few,iu,s_#,NaN,35,0.2526,105.2,94.72,106.8,291.4,291,378.4,2044,1485,813.5,2790,2392,2690
kei taː,other,ei,k_t,NaN,31,0.1369,107.4,97.64,96.29,424.6,424,352.2,1799,1968,1944,2849,2668,2571
kei taː,other,aː,t_b,NaN,55,0.1380,125.2,126.7,126.2,810.5,689.9,653.7,1064,1160,1052,2559,2463,2451
ja,one,a,j_g,NaN,55,0.06978,127.9,127.9,127.9,605.5,581.4,472.8,1594,1582,1522,2234,2668,2330
i,two,i,#_#,NaN,31,0.1015,106.6,101.5,100.2,231.6,231.6,231.6,2065,2101,1980,2981,3030,2873
saːm,three,aː,s_m,NaN,51,0.1799,115.2,107,96.42,460.8,412.5,412.5,1196,1112,1160,3355,3488,3066
sei,four,ei,s_g,NaN,33,0.1661,115.9,105.3,105.3,388.4,364.3,255.8,1667,1980,2113,2740,2812,2427
dai,big,ai,d_#,NaN,214,0.2010,93.48,83.89,100.3,798.5,786.4,581.4,1281,1293,1751,2607,2595,2547
t͡ʃoŋ,long,o,t͡ʃ_ŋ,NaN,31,0.1095,122.3,106.9,96.24,316.1,472.8,388.4,1534,1498,1341,2620,2547,2511
fu,wide,u,f_#,NaN,33,0.1360,111.8,104.3,98.44,352.2,352.4,364.3,822.6,822.6,882.9,2716,2716,2632
hau,thick,au,h_#,NaN,53,0.2106,100.3,88.19,99.69,653,521.1,364.3,907,786.4,557.3,2511,2680,2511
t͡soŋ,heavy,o,t͡s_ŋ,NaN,31,0.08562,100.4,91.6,88.47,328.1,460.8,267.8,955.2,810.5,653.7,3198,3283,3259
sai,small,ai,s_#,NaN,31,0.2601,102.9,90.64,90.1,798.5,689.9,364.3,1160,1570,1980,3090,2752,2837
dyn,short,y,d_n,NaN,35,0.1457,103,91.22,94.48,279,291.9,291.9,1619,1546,1824,2354,2222,3114
zaː,narrow,aː,z_#,NaN,33,0.2179,106.1,95.42,98.48,509,955.2,1052,1570,1498,1426,3162,2644,2812
bo,thin,o,b_#,NaN,42,0.1393,108.5,95.35,91.67,460,424.6,400.5,870.8,810.5,786.4,2559,2632,2656
noi,woman,oi,n_z,NaN,11,0.1477,92.24,87.98,88.35,448.7,400.5,364.3,1414,1245,1691,3598,3090,3223
naː,man,aː,n_z,NaN,21,0.1712,93.71,85.18,83.87,822,545,894,1401,1160,1365,3548,2692,2728
jan,human,a,j_n,NaN,32,0.05224,108.4,102.3,97.88,497,424.5,605.5,1438,1462,1486,2222,1703,2101
sai lou,child,ai,s_#,NaN,33,0.1362,107.1,98.31,96.18,677.9,412.5,388.4,1269,1643,1619,2559,2366,2644
sai lou,child,ou,l_#,NaN,11,0.1462,91.72,89.49,90.11,364,400.5,340.2,919.1,858.8,762.2,2644,2728,2077
lou po,wife,ou,l_p,NaN,22,0.1471,93.36,91.57,92.33,376.4,424.6,412.5,882.9,846.7,593.4,2680,2692,2776
lou po,wife,o,p_#,NaN,32,0.1249,104.3,105.8,102.6,340.2,448.7,436.7,774.3,786.4,786.4,2644,2644,2607
lou goŋ,husband,ou,l_g,NaN,22,0.1517,105.3,105.5,108.1,412.5,340.2,328.1,1040,810.5,750.2,2716,2740,2607
lou goŋ,husband,o,g_ŋ,NaN,55,0.04142,123.1,123,120.1,413.5,472.8,472.8,774.3,822.6,726.1,2692,2969,2873
aːmaː,mother,aː,ei_m,NaN,33,0.08439,106.2,107,106.8,653.7,509,460.8,1522,1522,1281,2861,2969,2873
aːmaː,mother,aː,m_g,NaN,55,0.1460,115.5,115,121,533.1,641.7,484.9,1100,1184,1341,2788,2668,2583
aːbaː,father,aː,ei_b,NaN,33,0.1128,108.3,108,108.1,617.6,738.2,653.7,1510,1522,1257,2318,2837,2704
aːbaː,father,aː,b_g,NaN,31,0.1427,107.2,96.38,91.89,738.2,919.1,702,1305,1269,1317,2583,2800,2342
